종류,세부분류,위치,가게이름,상세주소,전화번호,대표메뉴 1,가격 1,대표메뉴2,가격2,대표메뉴3,가격3,특징,사진,lat,lng
1,,6,몽셰르몬,충청남도 아산시 풍기동 248-2,041-542-5424,모듬빵,2천원대,"아메리카노, 라떼, 과일주스",2천원대~4천원대,,,"다양한 수제쿠키, 케이크 주문제작가능, 배달 가능",,36.7725739,127.0150045
3,,6,이순신종합운동장,충청남도 아산시 남부로 370-24(풍기동 366-2),041-537-3932,입장료 성인,3천원대,어린이,2천원대,스케이트 대여료,2천원대,"빙상장,배구-농구코트,배드민턴코트,탁구장,복싱장 등이 있음 (*빙상장-장갑,긴 상,하의 개별 개별 지참, 안전헬멧무료대여, 빙상정규강습프로그램이 있음)",,36.7677238,127.0212692
2,pc방,6,초콜릿피씨방 아산점,"충청남도 아산시 외암로 1544-3 (풍기동 248-2 2층 206, 207호 )",011-9195-2222,1시간,1200원 대,,,,,,,36.7725739,127.0150045
1,분식,6,비비큐올리브떡볶이,충청남도 아산시 풍기동 248-2,041-546-5554,떡볶이,2천원대,순대,3천원대,치킨꼬치,2천원대,,,36.7725739,127.0150045
1,한식,6,홍두깨칼국수,충청남도 아산시 읍내동 288,041-532-0079,칼국수,6천원대,"만두, 꼬마만두",6천원대,콩국수,6천원대,"영업시간 9시~오후 8시, 칼국수에 조개가 많이 들어감",,36.7606998,127.0170661
1,중식,6,목화반점,충청남도 아산시 온주길26번길 11-1(충청남도 아산시 읍내동 137 ),041-545-8052,"짜장면, 짬뽕",5~6천원대,탕수육,1만7천원~3만원대,,,짜장면과 탕수육이 맛있기로 유명하다.,,36.8877911,126.6313389
1,분식,6,김밥동네,충청남도 아산시 읍내동 212,041-546-9244,,,,,,,,,36.8932187,126.6330053
1,"피자, 파스타",6,피자굼터,충청남도 아산시 좌부동 80-8,041-542-2855,각종 피자,6천원대~1만 3천원대,,,,,다른 회사 피자보다 크기가 조금 작음,,36.7549209,127.0327217
1,한식,6,두레박,충청남도 아산시 장존동 305-11,041-548-1655,,,,,,,"삼겹살, 갈비 종류 판매",,36.7490084,127.0159431
1,"피자, 파스타",6,꽃나들이,충청남도 아산시 외암로1399번길 130-13(충청남도 아산시 법곡동 238 ),041-545-2393,"런치A메뉴-오늘의 마늘빵,스프, 샐러드,돈까스,생선까스,새우볶음밥",1만원대,"런치B메뉴-오늘의 마늘빵,스프,까르보나라",1만원대,"런치C메뉴-오늘의 마늘빵,스프, 돈가스,왕새우튀김 ,새우볶음밥",1만2천원대,영업시간 11시~23시 연중 무휴런치타임 오전 11시~오후 3시까지 홈페이지 http://flowernadri.fordining.kr,,36.7582414,127.0029958
4,,6,보람 독서실,충청남도 아산시 온여고길21번길 19-1(충청남도 아산시 풍기동 216-10 ),041-545-1604,하루이용가격이랑 한달 이용가격 같은 것,,,,,,,,36.7781876,127.0129918
1,한식,6,흥남순대,충청남도 아산시 법곡동 33,041-549-9898,대표메뉴 하나라도 있으면 좋을꺼같아.,,,,,,국물이 깔끔하고 순대가 맛있다.,,36.7547818,127.0089763
1,분식,6,아딸 풍기점,충청남도 아산시 남부로 353 동일하이빌아파트(풍기동 440 동일하이빌단지내상가 109-2 ),041-533-1439,밀&쌀떡볶이,2천원대~2천5백원대,허브튀김,2천5백원대,순대,3천원대,,,36.7741364,127.0217701
1,한식,6,도네누 아산풍기점,충청남도 아산시 남부로 356(풍기동 272-3 ),041-543-4312,볏짚통삼겹살,가격은 인터넷 도네누 홈페이지에 있을꺼야 아마,솔잎숙성삼겹살,,참나무통삼겹살,,,,36.7718934,127.0202006
1,"피자, 파스타",6,59쌀피자,청남도 아산시 풍기동 272-3,041-541-5982,각종 피자,가격대가 어느정도 하는 곳이니?,,,,,,,36.7718934,127.0202006
1,분식,6,석봉 토스트 아산온양점,충청남도 아산시 풍기동 229-71,041-533-0330,,,,,,,,,36.7764766,127.0169486
1,분식,6,엄마손김밥,충청남도 아산시 풍기동 268-3,041-534-7332,,,,,,,,,36.7718174,127.0188757
1,일식,6,돈까스클럽 아산점,충청남도 아산시 온천대로 1734 (풍기동 12-3 ),041-546-6600,왕돈까스,8천원대,샐러드류,1만6천원대,돈까스정식,9천원대,"국내산 특등심을 사용한 돈가스를 맛볼 수 있는 곳이다. 돈가스를 찍어 먹는 소스는 자체적으로 개발한 특제 소스다. 돈가스와 함께 스파게티, 화덕피자도 인기 메뉴.",,36.7749827,127.0293676
1,한식,6,도마집,충청남도 아산시 풍기동 220-16,041-545-9202,,,,,,,서비스도 좋고 주인분들도 친절하다.막창이 맛있다고 소문난 집,,36.7745003,127.0141809
1,치킨,6,페리카나 주은점,충청남도 아산시 어의정로183번길 14 주은아파트 (풍기동 229-71 주은상가 204호),041-532-9277,후라이드,1만5천원대,양념치킨,1만6천원대,마늘간장치킨,1만7천원대,지역마다 가격차이가 있음,,36.7755705,127.0171802
1,치킨,6,헤이슬치킨 아산점,충청남도 아산시 풍기동 199-9,041-547-7741,,,,,,,,,36.7756699,127.0204451
4,,6,박시영미용실,충청남도 아산시 읍내동,,,,,,,,,,36.7602164,127.0198126
2,당구장,6,뉴초원당구장,충청남도 아산시 좌부동 80-8,041-547-3947,가격정보없음,,,,,,,,36.7549209,127.0327217
2,당구장,6,하나당구장,충청남도 아산시 좌부동 84,041-546-8171,가격정보없음,,,,,,,,36.7535135,127.0298904
1,한식,6,소담,충청남도 아산시 순천향로 824 822,041-545-0084 /011-9982-6759,굴탕,6천원대,매생이굴탕,7천원대,굴밥,8천원대,영업시간: 08:00~21:30 홀수 월요일 휴무 굴밥은 밥을 바로 짓기 때문에 시간이 2인 기준으로 20분 정도 걸림. 미리 예약하면 바로 먹을수 있음. 천연재료만으로 맛을 냄,,36.7560802,127.0134402
